LaRegion,LA,urban,Population2007,Population2008,Population2009,CINrAtMarch31St2009,CINrDuring2009,CINrReferrals2007,CINrReferrals2008,CINrReferrals2009,CINrPriorReferral2007,CINrPriorReferral2008,CINrPriorReferral2009,CINrAssessmentInitial7Days2007,CINrAssessmentInitial7Days2008,CINrAssessmentInitial10Days2009,CINrAssessmentCore35Days2007,CINrAssessmentCore35Days2008,CINrAssessmentCore35Days2009,CINrCPPWithPriorCPP2007,CINrCPPWithPriorCPP2008,CINrCPPWithPriorCPP2009,WFrVacancyRate2010,WFrTurnoverRate2010,WFrAgencyWorkerRate2010,IMDScore
North East,Hartlepool,4,21157,21027,20711,388.2,832.9,659.4,442.3,474.6,29.7,21,10.3,74.9,73.6,82.3,92.2,61.7,71.9,15.8,10,28.2, , , ,33.68
North East,Middlesbrough,4,31876,31854,31697,694.7,1213.7,465.9,609,731.6,12.1,15.5,5.2,82.2,78.7,90.3,91.5,85,84.4,9.3,19.6,15.6, , , ,37.62
North East,Redcar and Cleveland,3,29717,29296,28784,386,813,730.2,626.4,676.4,32.7,27.2,10.9,80.3,86.8,86.3,60.6,79.1,70.6,20.7,8.6,8.9,7.7,8.3,0,28.55
North East,Stockton on Tees,4,42689,42702,42503,420.9,719.9,392.4,449.6,556.7,9.6,8.1,8.3,86.8,83.9,69.2,88.4,88.5,63.7,10,10.6,13.6,0,75,0,23.46
North East,Darlington,4,22797,22858,22799,389.1,831.6,1348.9,1358.4,717.1,36.1,41.7,13.8,68.8,60,58.7,87,73.2,72.3,11.8,8.3,10.5, , , ,25.41
North West,Halton,4,28230,28271,28113,345.4,663,400.3,451,432.5,13.7,15.3,4.3,90.2,88,89.3,90.1,91.1,93.7,6.3, ,9,9.1,0,0,32.54
North West,Warrington,4,44063,44005,43912,364.1,568.4,334.7,268.2,364.1,11.5,32.6,5.3,64.6,55.6,38.9,52.4,38.5,14.9,10,12,13.2,7.1,15.4,0,18.49
North West,Blackburn with Darwen,4,38430,38413,38600,393.8,981.1,317.5,447.8,803.4,16.8,19.2,16.6,81.5,83.2,92.1,87.7,88.8,83.8,10.5,23.5,11.3, , , ,35.23
North West,Blackpool,4,29716,29537,29282,459,775.9,1193,856.6,992.1,61.8,37.2,17,61.9,59.3,83.2,69,57.8,48.6,17.1,18.4,12.6,0,0,0,40.39
Yorkshire and the Humber,Kingston upon Hull,4,56066,55737,54928,508.7,992.4,604.6,419.8,1049.4,12.8,17.7,14.5,75.4,74.1,80.9,75,70.1,71.9,19.4,19.4,12.8, , , ,37.53
Yorkshire and the Humber,East Riding of Yorkshire,2,65290,65160,64678,344,621.2,293.3,305.4,380,5,4.5,4.5,83,78.8,82.3,95.2,89.5,81.4,11.5,4.2,9,4.2,17.4,0,14.97
Yorkshire and the Humber,North East Lincolnshire,4,35883,35389,34696,432.6,795.5,476.5,498.7,707.9,23.7,21.2,12.4,92.7,92.7,93.6,97.1,96.5,97, , ,8.3, , , ,29.3
Yorkshire and the Humber,North Lincolnshire,3,35453,35507,35350,277.5,480.1,626.2,515.4,709.5,16.7,19.1,15.4,85.8,86.3,91.8,93.8,94.6,89.3,11.8,17.4,11.7,0,0,0,21.75
Yorkshire and the Humber,York,4,34736,34780,35045,305.9,658,460.6,406.8,325,27.2,24.4,8.4,65.9,71.4,82,89.3,91.9,84.6,5.6,7.4,25.2, , , ,12.93
East Midlands,Derby,4,54755,55398,55899,451,845.8,673.9,464.8,602.9,31.8,16.9,8.5,61,60.4,51.9,89.9,79.2,86,17.6,12.5,11.3,0,8,0,24.58
East Midlands,Leicester,4,73927,75176,75858,355,729.8,675.7,729,1062.4,18.1,16.3,18,62,67.1,73.1,87.2,85.3,86.4,16,17.4,19, , , ,33.65
East Midlands,Rutland,1,8140,8114,7995,292.7,515.3,331.7,314.3,427.8,18.5,9.8,10.5,93.3,96.6,89.8,80,46.7,86.3, ,0, ,0,0,0,8.62
East Midlands,Nottingham,5,58292,59681,60585,387.9,848.4,1038.7,810.1,958,41.5,33.3,11.1,62,63.8,76.9,76.9,74.8,85,12.5,11.7,17.3, , , ,34.42
West Midlands,Herefordshire,2,36944,36755,36249,131.9,278.6,234.1,272.1,269,22,19.5,7.1,57.8,37.1,83.5,75,67.4,66.4,11.8,16, ,0,0,0,17.91
West Midlands,Telford and Wrekin,4,38765,38656,38720,300.9,466.9,410.2,385.5,322.8,24.5,20.8,9.1,59.9,63.9,71.9,88.2,89.1,77.3,18.2,12.9,16.5, , , ,23.63
West Midlands,Stoke on Trent,4,53414,54258,54246,695.4,747.5,838.7,649.7,575.2,43.8,34.5,8.8,52.9,91.1,91.5,76.4,89.4,77.7,9,12,10.7,0,0,0,35.32
South West,Bath and North East Somerset,3,33159,33588,33619,271.9,430.4,386,339.4,436.7,25.8,28.9,12.1,72.5,54.4,77,50,75.6,78.5,25, ,11.4, , , ,12.1
South West,Bristol City of,4,81753,82885,84183,390.9,747.9,807.9,796.3,927.7,25.3,17.3,16.4,69,68.3,78.6,82.4,72.6,77.9,12.5,9.2,10.7, , , ,25.17
South West,North Somerset,3,41400,41590,41605,387.2,690.5,356.3,464.1,730.7,26.4,24.9,15.1,71.4,64,68.3,81.8,79.6,62.4,19,10,9.8, , , ,15.18
South West,South Gloucestershire,4,55142,55755,56479,231.9,334.3,262.1,273.5,350.9,22.8,24.6,10.8,31.7,69.9,76.4,82.1,88.9,69,9.5,8.8,5.5, , , ,10.62
South West,Plymouth,4,50106,50117,49985,357.9,988.5,489,642.5,688,21,22.5,12.1,69.2,77.1,72.3,71.6,85.7,77.5,9.6,12.8,14.9, , , ,25.63
South West,Torbay,4,25858,25606,25258,415.7,782.3,380.9,353.4,454.5,28.4,18.2,8.8,74.2,71.3,69.6,62.2,76.2,52.2,20,11.1,7.4, , , ,26.82
South West,Bournemouth,4,28868,29735,30500,478,1006.2,549.1,558.3,494.4,21.5,19.6,5.8,95.9,46.3,57.5,59.1,31.8,59.3,3.6,3.6,12.5,0,7.1,6.7,23.38
South West,Poole,4,28439,28595,28838,391.2,539.6,344.6,321.7,376.6,19.9,20.7,9.4,73,83,45.5,80,78,65.1,5.9,15,12.8, , , ,16.12
South West,Swindon,4,44242,45014,45487,264.3,703.9,382,399.9,411.5,18.9,16.4,14,62.6,71.6,74,91.1,93.5,71.2,13.6,14.3,11.1,6.3,6.7,6.3,16.46
East of England,Peterborough,4,40986,41799,42523,514.1,913.9,572.1,666.3,554.3,27.7,29.8,10.7,54.8,62.8,78.3,62.8,63.9,73.3,26.1,17.2,13.8, , , ,25.63
East of England,Luton,4,48249,49433,50461,470.9,657.9,521.3,406.6,274.9,29,22.6, ,58,77.2,63.5,75,86.5,69.5,14.8,14.3,14.8, , , ,25.78
East of England,Southend on Sea,4,36089,36434,36735,389,862.1,484.9,465.2,532.2,26,18.9,9.1,65.1,74,85.3,75.4,72.4,77.7,13.2,16.7,14.7, , , ,23.12
East of England,Thurrock,6,36581,37071,37462,520.5,1025,519.4,1026.4,661.2,18.7,27.5,9.4,64.5,76.2,81.2,83.6,78.9,72.9,8.8,20,7.7,0,7.7,0,19.45
South East,Medway,4,61531,61561,61086,305.8,489.3,446.1,394.7,439.7,25.3,23.7,9.4,70,73.3,83.7,74.7,82.5,68.3,15.8,10,17.6,0,0,0,20.54
South East,Bracknell Forest,4,25964,25948,26015,220.6,370.6,410.2,406.6,490.1,22.1,25.1,11.8,75.9,70,89.5,81.4,84.2,81.6, ,9.1,12, , , ,9.54
